UTMX	UTMY	SBA
486931.00047233043	9398892.000018975	75.36024423961611
486368.99974982726	9398962.999984164	77.68746198962522
485914.9961965866	9398870.999980967	73.07563896839173
485353.99501673307	9398976.000050113	79.66636345646455
484931.0019919649	9398871.999972688	75.31725784058548
484319.0037059615	9398805.999965906	74.91210612635655
483897.99758985953	9398788.000027856	76.269496410719
483415.9977683921	9398903.00003942	72.41903944230349
486904.8932913783	9399386.154580716	74.93343999749926
486415.80678756407	9399383.293736795	75.33574660592319
485866.68793872435	9399334.653017111	73.44931737149177
485425.01406495133	9399335.442744752	71.57451634253448
485108.9976954409	9399080.000063911	71.08604298182581
484344.0007091075	9399351.000019217	50.85877143778998
486884.0033100815	9399938.000033814	76.52940769573877
486414.9963646228	9399883.999987677	73.5227476944981
485878.9954854017	9399912.999966824	75.94498007546675
485411.00004772225	9399897.999991488	75.26366577679102
484878.0020969556	9399870.999998355	71.30566744651578
484284.0010667173	9399643.00005327	76.35820905910788
483853.99708405783	9399430.000045076	66.95191484851003
484386.9992936716	9400898.999993213	80.73910413310452
483918.0024777996	9400920.000043215	77.23169702256281
483886.9982341085	9400444.00004982	74.33521208506394
484366.9982841953	9400397.000026627	77.23107774562564
484864.0010062296	9400404.999963246	74.73269333548129
485402.00354436616	9400311.000028236	74.92477036481733
486861.002901608	9400404.000015272	80.00548455957491
486366.0019781532	9400412.99999942	82.52983456908606
485865.0030749407	9400391.000033239	73.79313915705833
486882.9950230089	9400903.000000836	80.16516342851814
486427.99830745894	9400887.999982249	80.10997902628073
485957.00515944173	9400872.000001397	78.04595010756145
485406.99730496906	9400934.0000091	78.94722140089792
485046.00179200445	9400902.999995414	81.12444477853724
484805.000303244	9401381.000058584	79.08344289774091
484764.00020430726	9401868.999992248	81.61849399691668
484516.0022235464	9401339.000027826	48.327189339858265
483899.00105446053	9401253.999977607	74.43631920730668
483329.9978371208	9401279.000061791	106.38789272675807
485090.00437760475	9401300.999994067	73.03504819695817
486834.99462076725	9401407.00000369	66.95868338303838
486432.00014042715	9401314.000049224	71.78047472793486
484379.0026637759	9401893.000009673	74.84628849793349
484182.995211954	9401844.000042988	75.98185956004556
486561.0015381539	9401887.999958614	83.53141052609843
486185.99738143943	9401912.000023015	79.09958802421193
486700.9981388514	9401884.99995936	80.58163265292836
484278.00243165874	9402176.000000643	83.12841080923232
483930.9952413865	9402180.00001248	76.60329946178001
483641.99669815035	9402309.999967823	74.68921135562707
484925.99565436	9402274.000027988	79.77155674403322
485359.9949416185	9402605.000045534	79.00378086705679
485840.0037300649	9402477.999986712	79.16630434740402
486762.0032434211	9402575.99999594	77.16683743857399
486748.9993486077	9402171.000020374	76.24030943304653
484468.0045636395	9403290.999974037	76.79657633080939
484796.0000143581	9403463.999995712	80.00223505021317
484898.68574557104	9403865.375960734	82.73803114168525
485365.51725464006	9403959.659051357	81.50536427076656
485822.99870747613	9403900.000066381	80.40594091907829
485440.9982409096	9403485.999990404	91.0323620607426
485952.99521885114	9403525.999999423	80.95936568733424
486494.0026577363	9403478.999996632	79.26949607832893
