UTMX	UTMY	CBA
486931.00047233043	9398892.000018975	76.29650383961611
486368.99974982726	9398962.999984164	78.29421488962522
485914.9961965866	9398870.999980967	73.84759926839173
485353.99501673307	9398976.000050113	80.81060845646455
484931.0019919649	9398871.999972688	76.62906024058549
484319.0037059615	9398805.999965906	76.09665822635655
483897.99758985953	9398788.000027856	77.607807310719
483415.9977683921	9398903.00003942	73.78393164230349
486904.8932913783	9399386.154580716	75.44470279749926
486415.80678756407	9399383.293736795	76.46061780592319
485866.68793872435	9399334.653017111	74.14448717149178
485425.01406495133	9399335.442744752	72.88124534253448
485108.9976954409	9399080.000063911	72.60871258182581
484344.0007091075	9399351.000019217	54.42570393778998
486884.0033100815	9399938.000033814	76.89615569573877
486414.9963646228	9399883.999987677	73.9666756944981
485878.9954854017	9399912.999966824	76.50850437546674
485411.00004772225	9399897.999991488	76.05983187679101
484878.0020969556	9399870.999998355	73.14233874651579
484284.0010667173	9399643.00005327	77.55769085910788
483853.99708405783	9399430.000045076	69.43634214851002
484386.9992936716	9400898.999993213	81.48889153310452
483918.0024777996	9400920.000043215	78.25110062256282
483886.9982341085	9400444.00004982	75.05264848506394
484366.9982841953	9400397.000026627	77.96653414562564
484864.0010062296	9400404.999963246	76.02010423548128
485402.00354436616	9400311.000028236	75.82403306481733
486861.002901608	9400404.000015272	80.29163095957492
486366.0019781532	9400412.99999942	82.98107326908607
485865.0030749407	9400391.000033239	74.27562595705834
486882.9950230089	9400903.000000836	80.44625712851814
486427.99830745894	9400887.999982249	80.54385562628073
485957.00515944173	9400872.000001397	78.58090870756145
485406.99730496906	9400934.0000091	80.55775900089792
485046.00179200445	9400902.999995414	82.21200577853723
484805.000303244	9401381.000058584	79.73149059774092
484764.00020430726	9401868.999992248	82.48873269691668
484516.0022235464	9401339.000027826	49.28775853985827
483899.00105446053	9401253.999977607	77.20083400730668
483329.9978371208	9401279.000061791	108.06181712675807
485090.00437760475	9401300.999994067	73.87123039695817
486834.99462076725	9401407.00000369	67.21575828303838
486432.00014042715	9401314.000049224	72.54681662793486
484379.0026637759	9401893.000009673	76.23822659793349
484182.995211954	9401844.000042988	77.53047866004556
486561.0015381539	9401887.999958614	84.08153442609843
486185.99738143943	9401912.000023015	79.67725072421193
486700.9981388514	9401884.99995936	80.87719125292837
484278.00243165874	9402176.000000643	85.54876380923233
483930.9952413865	9402180.00001248	78.51153026178001
483641.99669815035	9402309.999967823	76.16664945562707
484925.99565436	9402274.000027988	80.61483304403322
485359.9949416185	9402605.000045534	79.57444566705679
485840.0037300649	9402477.999986712	79.56793674740402
486762.0032434211	9402575.99999594	77.446358938574
486748.9993486077	9402171.000020374	76.49555743304653
484468.0045636395	9403290.999974037	77.83056453080938
484796.0000143581	9403463.999995712	80.79579995021318
484898.68574557104	9403865.375960734	83.15545774168525
485365.51725464006	9403959.659051357	81.80874797076656
485822.99870747613	9403900.000066381	80.64193951907829
485440.9982409096	9403485.999990404	91.6016682607426
485952.99521885114	9403525.999999423	81.34911368733424
486494.0026577363	9403478.999996632	79.51183087832892
