UTMX	UTMY	CBA_Net
486931.00047233043	9398892.000018975	80.40954649622972
486368.99974982726	9398962.999984164	83.30836189292727
485914.9961965866	9398870.999980967	78.38403140421275
485353.99501673307	9398976.000050113	85.12968576680956
484931.0019919649	9398871.999972688	80.91779071589777
484319.0037059615	9398805.999965906	80.66218352199863
483897.99758985953	9398788.000027856	82.49261602108875
483415.9977683921	9398903.00003942	79.28490457096133
486904.8932913783	9399386.154580716	79.43108146507278
486415.80678756407	9399383.293736795	81.61207083094062
485866.68793872435	9399334.653017111	78.56650942979553
485425.01406495133	9399335.442744752	77.16829306691004
485108.9976954409	9399080.000063911	77.38434543107249
484344.0007091075	9399351.000019217	58.63514533008598
486884.0033100815	9399938.000033814	81.23396868433555
486414.9963646228	9399883.999987677	78.39628319144907
485878.9954854017	9399912.999966824	81.1638329623045
485411.00004772225	9399897.999991488	81.13469558025771
484878.0020969556	9399870.999998355	78.80103084126395
484284.0010667173	9399643.00005327	85.91463786544949
483853.99708405783	9399430.000045076	78.53844440802644
484386.9992936716	9400898.999993213	87.31083330495323
483918.0024777996	9400920.000043215	85.52308465853937
483886.9982341085	9400444.00004982	82.26081815312777
484366.9982841953	9400397.000026627	84.31166352896939
484864.0010062296	9400404.999963246	82.32997227244628
485402.00354436616	9400311.000028236	79.96634415106752
486861.002901608	9400404.000015272	84.42977791619089
486366.0019781532	9400412.99999942	87.50547085336491
485865.0030749407	9400391.000033239	79.29049692362364
486882.9950230089	9400903.000000836	84.49021709870442
486427.99830745894	9400887.999982249	85.18663485443163
485957.00515944173	9400872.000001397	83.72139594677562
485406.99730496906	9400934.0000091	87.82084390817039
485046.00179200445	9400902.999995414	89.68487229481664
484805.000303244	9401381.000058584	85.34855372175942
484764.00020430726	9401868.999992248	87.76793140638453
484516.0022235464	9401339.000027826	55.65763055203095
483899.00105446053	9401253.999977607	86.43647412657893
483329.9978371208	9401279.000061791	118.3650963447537
485090.00437760475	9401300.999994067	80.46586853517789
486834.99462076725	9401407.00000369	71.00081984567028
486432.00014042715	9401314.000049224	75.46090945213454
484379.0026637759	9401893.000009673	81.54802692607625
484182.995211954	9401844.000042988	83.9943664711472
486561.0015381539	9401887.999958614	88.97805391802494
486185.99738143943	9401912.000023015	84.29722848808574
486700.9981388514	9401884.99995936	84.89141052332275
484278.00243165874	9402176.000000643	93.80541857429225
483930.9952413865	9402180.00001248	87.06838891890581
483641.99669815035	9402309.999967823	86.21854674032885
484925.99565436	9402274.000027988	85.3838241863053
485359.9949416185	9402605.000045534	84.35843984709777
485840.0037300649	9402477.999986712	83.97769045296134
486762.0032434211	9402575.99999594	81.944991323343
486748.9993486077	9402171.000020374	80.83427477658019
484468.0045636395	9403290.999974037	83.11773215189206
484796.0000143581	9403463.999995712	85.48436518735669
484898.68574557104	9403865.375960734	87.80579526183445
485365.51725464006	9403959.659051357	86.16955330908256
485822.99870747613	9403900.000066381	84.85030834146868
485440.9982409096	9403485.999990404	96.05161058231192
485952.99521885114	9403525.999999423	85.57213087497533
486494.0026577363	9403478.999996632	83.79759241226307
